id,Element/Pattern,RHDS,WebRH,WebDMS,Adobe Target,
Accordion,Small size,x,x,,,
Accordion,Large size,x,x,,,
Alert,Inline,x,,,,
Alert,Inline variation,x,,,,
Alert,Toast,x,,,,
Avatar,Avatar,x,,,,
Badge,Badge,x,,,,
Blockquote,Default size,x,,,,
Blockquote,Large size,x,,,,
Button,Danger,x,,,,
Button,Primary,x,,,,
Button,Secondary,x,,,,
Button,Tertiary,x,,,,
Button,Link,x,,,,
Button,Play,x,,,,
Button,Close,x,,,,
Card,Basic,,x,,,
Card,Lists,,x,,,
Card,Data/fast facts,,,x,,
Card,Logo,,x,,,
Card,Bar/with hat,,x,,,
Card,Icon,,x,,,
Card,Image,,x,,,
Card,Asset,,,x,,
Card,Quote,,x,,,
Card,Avatars,,,x,,
Card,Video,,,x,,
Card,Pricing,,,x,,
Card,Logo slider,,,x,,
Card,Name slider,,,x,,
Cta,Primary,x,,,,
Cta,"Primary,video",x,,,,
Cta,Secondary,x,,,,
Cta,"Secondary,video",,,,,
Cta,Brick,x,,,,
Cta,"Brick,icon",x,,,,
Cta,Default,x,,,,
Cta,"Default,video",x,,,,
Dialog,Dialog,x,,,,
Footer,Footer,x,,,,
Navigation Secondary,Secondary navigation,x,,,,
Pagination,Compact size,x,,,,
Pagination,Full size,x,,,,
Promo band, Full,,x,,,
Promo band, Skinny,,x,,,
Spinner,Small size,x,,,,
Spinner,Medium size,x,,,,
Spinner,Large size,x,,,,
Stat,Default size,x,,,,
Stat,Large size,x,,,,
Tabs,Open,x,,,,
Tabs,Boxed,x,,,,
Tag,Red - filled and unfilled,x,,,,
Tag,Orange - filled and unfilled,x,,,,
Tag,Green - filled and unfilled,x,,,,
Tag,Cyan - filled and unfilled,x,,,,
Tag,Blue - filled and unfilled,x,,,,
Tag,Purple - filled and unfilled,x,,,,
Tag,Gray - filled and unfilled,x,,,,
Tooltip,Tooltip,x,,,,
,12-column grid,,x,x,,
,Audio player,,,x,,
,Announcement bar,,,x,x,
,Cookie banner,,,,,
,Filter box,,x,,,
,Fixed bottom banner,,,x,x,
,Footer group,,,,,
,Form - full,,x,,,
,Form - input group - money,,,,,
,Form - input group - email,,,,,
,Form - input group - username,,,,,
,Form - input group - date,,,,,
,Form - input group - search,,,,,
,Form - input group - help,,,,,
,Jump links - horizontal,,,,,
,Jump links - vertical,,,,,
,Link with icon,,,,,
,Logo bar,,,x,,
,Navigation,,x,,,
,Quote,x,x,x,,
,Search bar,,,,,
,Search combo,,,,,
,Skip to main content,,,,,
,Video with thumbnail,,,x,,
